Name,Price,Location,Time
Ant,80,On rotten food,All day
Bagworm,600,Shaking trees,All day
Banded dragonfly,4500,Flying,8am - 5pm
Bell cricket,430,On the ground,5pm - 8am
Centipede,300,Hitting rocks,4pm - 11pm
Citrus long-horned beetle,350,On tree stumps,All day
Common butterfly,160,Flying,4am - 7pm
Cricket,130,On the ground,5pm - 8am
Darner dragonfly,230,Flying,8am - 5pm
Flea,70,Villager's heads,All day
Fly,60,On trash items,All day
Hermit crab,1000,Beach disguised as shells,7pm - 8am
Ladybug,200,On flowers,8am - 5pm
Long locust,200,On the ground,8am - 7pm
Man-faced stink bug,1000,On flowers,7pm - 8am
Mantis,430,On flowers,8am - 5pm
Migratory locust,600,On the ground,8am - 7pm
Monarch butterfly,140,Flying,4am - 5pm
Moth,130,Flying by light,7pm - 4am
Orchid mantis,2400,On flowers (white),8am - 5pm
Paper kite butterfly,1000,Flying,8am - 7pm
Pill bug,250,Hitting rocks,11pm - 4pm
Red dragonfly,180,Flying,8am - 7pm
Rice grasshopper,160,On the ground,8am - 7pm
Scorpion,8000,On the ground,7pm - 4am
Snail,250,On rocks and bushes (rain),All day
Spider,600,Shaking trees,7pm - 8am
Stinkbug,120,On flowers,All day
Tiger beetle,1500,On the ground,All day
Violin beetle,450,On tree stumps,All day
Walking stick,600,On trees,4am - 8am & 5pm - 7pm
Wasp,2500,Shaking trees,All day
Wharf roach,200,On beach rocks,All day
Yellow butterfly,160,Flying,4am - 7pm
