Name,Price,Location,Shadow Size,Time
Anchovy,200,Sea,2,4am - 9pm
Barreleye,15000,Sea,2,9pm - 4am
Bitterling,900,River,1,All day
Black bass,400,River,4,All day
Blowfish,5000,Sea,3,9pm - 4am
Blue marlin,10000,Pier,6,All day
Bluegill,180,River,2,9am - 4pm
Carp,300,Pond,4,All day
Coelacanth,15000,Sea (Rain),6,All day
Crucian carp,160,River,2,All day
Dab,300,Sea,3,All day
Dace,240,River,3,4pm - 9am
Football fish,2500,Sea,4,4pm - 9am
Freshwater goby,400,River,2,4pm - 9am
Goldfish,1300,Pond,1,All day
Horse mackerel,150,Sea,2,All day
Koi,4000,Pond,4,4pm - 9am
Oarfish,9000,Sea,6,All day
Olive flounder,800,Sea,5,All day
Pale chub,200,River,1,9am - 4pm
Pike,1800,River,5,All day
Pond smelt,500,River,2,All day
Pop-eyed goldfish,1300,Pond,1,9am - 4pm
Ranchu goldfish,4500,Pond,2,9am - 4pm
Red snapper,3000,Sea,4,All day
Sea bass,400,Sea,5,All day
Sea butterfly,1000,Sea,1,All day
Squid,500,Sea,3,All day
Stringfish,15000,River (Clifftop),5,4pm - 9am
Sturgeon,10000,River (Mouth),6,All day
Tuna,7000,Pier,6,All day
Yellow perch,300,River,3,All day
